3.5048,5.213,-1.0288,0.62756
3.8939,5.445,-1.0375,0.62669
4.2854,5.6752,-1.0481,0.62458
4.6913,5.8965,-1.0659,0.61825
5.1005,6.1158,-1.0854,0.61095
5.503,6.3134,-1.1138,0.59826
5.904,6.5059,-1.1443,0.5843
6.2935,6.6721,-1.1832,0.56593
6.6804,6.8319,-1.224,0.54649
7.037,6.9533,-1.2728,0.52253
7.3861,7.065,-1.3236,0.49743
7.6904,7.1263,-1.3794,0.46882
7.983,7.1745,-1.4366,0.4393
8.2083,7.1554,-1.4943,0.40707
8.4157,7.1182,-1.5521,0.37411
8.5366,6.9975,-1.604,0.34046
8.6336,6.8539,-1.6543,0.3066
8.6253,6.6145,-1.6925,0.27444
8.5869,6.3479,-1.7273,0.24276
8.4333,5.9809,-1.7443,0.21603
8.2461,5.5846,-1.7562,0.19074
7.9422,5.0955,-1.7456,0.17354
7.6033,4.5786,-1.7283,0.15876
7.1595,3.9911,-1.6854,0.15494
6.6833,3.3818,-1.6345,0.15451
6.1292,2.7441,-1.558,0.16646
5.5503,2.0974,-1.4733,0.18234
4.9344,1.4792,-1.3669,0.2103
4.3064,0.87027,-1.2533,0.2422
3.6922,0.35482,-1.1267,0.28341
3.0827,-0.12927,-0.99568,0.32774
2.5377,-0.46711,-0.86379,0.37666
2.015,-0.75456,-0.73159,0.42717
1.597,-0.87176,-0.61143,0.47654
1.216,-0.92875,-0.49553,0.52551
0.96545,-0.83033,-0.40348,0.56721
0.76229,-0.67549,-0.32008,0.60626
0.6915,-0.40449,-0.26664,0.63417
0.67,-0.090225,-0.22437,0.65793
0.77354,0.29078,-0.21505,0.66736
0.92484,0.69728,-0.21832,0.67132
1.1748,1.1172,-0.25115,0.66091
1.4634,1.5425,-0.29555,0.64487
1.8281,1.95,-0.36532,0.61506
2.2234,2.3504,-0.44527,0.57973
2.6628,2.7108,-0.54252,0.53391
3.1203,3.0546,-0.64689,0.48378
3.6011,3.3518,-0.76292,0.42562
4.0918,3.6293,-0.88387,0.36408
4.5814,3.8581,-1.0094,0.29839
5.0706,4.0658,-1.137,0.23093
5.5465,4.2291,-1.2658,0.16144
6.0167,4.3729,-1.3951,0.091069
6.4583,4.477,-1.5214,0.021595
6.887,4.5633,-1.6465,-0.047473
7.2836,4.6165,-1.7681,-0.11497
7.6653,4.6545,-1.8881,-0.18175
8.0046,4.6649,-2.0025,-0.24512
8.3238,4.6623,-2.1144,-0.30688
8.6019,4.6377,-2.2221,-0.36585
8.86,4.6026,-2.3278,-0.42347
9.0675,4.55,-2.4277,-0.47694
9.2498,4.4887,-2.5248,-0.52835
9.3862,4.4139,-2.6187,-0.57719
9.4992,4.3321,-2.7109,-0.62473
9.5543,4.2402,-2.7972,-0.66802
9.5792,4.1429,-2.8805,-0.70911
9.5552,4.037,-2.9612,-0.74842
9.5053,3.9264,-3.0405,-0.7868
9.3685,3.8121,-3.1055,-0.81594
9.1844,3.6958,-3.1628,-0.84006
8.9647,3.5724,-3.2204,-0.86549
8.7253,3.4452,-3.278,-0.89163
8.4378,3.3128,-3.3305,-0.91614
8.1229,3.1775,-3.3801,-0.93974
7.7238,3.0411,-3.408,-0.95173
7.276,2.904,-3.4234,-0.95699
6.7844,2.7623,-3.4248,-0.95658
6.2669,2.6178,-3.4178,-0.95281
5.7025,2.4685,-3.3864,-0.93737
5.1097,2.3162,-3.3401,-0.91488
4.4985,2.1551,-3.2689,-0.88105
3.8761,1.9886,-3.1824,-0.84021
3.2534,1.8078,-3.0636,-0.78346
2.6306,1.618,-2.9243,-0.71666
2.0443,1.4054,-2.7538,-0.63429
1.4814,1.1781,-2.563,-0.54188
0.98474,0.91703,-2.3387,-0.43172
0.53169,0.63368,-2.0924,-0.30988
0.1783,0.30506,-1.8175,-0.17198
-0.10808,-0.053991,-1.5234,-0.023278
-0.27174,-0.46918,-1.2029,0.14196
-0.35117,-0.92292,-0.86424,0.31855
-0.28867,-1.4326,-0.5042,0.5095
-0.1267,-1.9814,-0.12918,0.71052
0.18912,-2.5647,0.26851,0.92563
0.61502,-3.1726,0.68243,1.1508
1.2008,-3.7512,1.1172,1.389
1.9035,-4.3083,1.5673,1.6366
2.7707,-4.7028,2.0383,1.9003
3.7606,-4.9761,2.5249,2.1759
4.9119,-4.8357,3.0281,2.4699
6.1859,-4.3807,3.5439,2.7778
7.6161,-3.1844,4.0739,3.1109
9.1676,-1.4123,4.615,3.4636
10.862,1.3668,5.1653,3.85
12.669,4.9443,5.7229,4.263
14.609,9.4384,6.2866,4.7194
16.656,14.674,6.8552,5.2109
18.848,20.547,7.4347,5.7597
21.159,26.945,8.0232,6.3558
23.582,33.607,8.6039,7.0032
26.1,40.491,9.178,7.6936
28.637,47.228,9.708,8.4059
31.191,53.838,10.2,9.137
33.495,59.737,10.56,9.806
35.579,65.014,10.805,10.421
36.954,68.712,10.8,10.832
37.696,70.996,10.571,11.06
37.252,70.82,10.007,10.937
35.723,68.397,9.1363,10.493
32.981,63.506,7.9987,9.6843
29.107,56.314,6.612,8.5367
24.615,47.838,5.1697,7.2024
19.534,38.141,3.6746,5.6906
14.571,28.612,2.314,4.2146
9.7219,19.245,1.0841,2.7736
5.3739,10.805,0.050133,1.4848
1.5218,3.2834,-0.78974,0.3469
-1.7973,-3.2339,-1.4622,-0.62845
-4.5782,-8.7367,-1.9656,-1.4396
-6.9403,-13.444,-2.3535,-2.1225
-8.8711,-17.332,-2.6225,-2.6734
-10.506,-20.651,-2.8186,-3.1333
-11.83,-23.374,-2.9382,-3.4977
-12.961,-25.719,-3.0152,-3.8024
-13.884,-27.659,-3.0465,-4.043
-14.682,-29.348,-3.0537,-4.2449
-15.345,-30.763,-3.0344,-4.4045
-15.925,-32.006,-3.0019,-4.5386
-16.414,-33.057,-2.9547,-4.6442
-16.853,-33.993,-2.901,-4.7339
-17.233,-34.798,-2.8401,-4.8055
-17.581,-35.52,-2.7767,-4.8668
-17.89,-36.146,-2.7103,-4.9159
-18.177,-36.711,-2.6434,-4.9582
-18.438,-37.203,-2.5761,-4.9924
-18.684,-37.649,-2.5098,-5.0223
-18.915,-38.042,-2.4447,-5.0472
-19.135,-38.399,-2.3811,-5.0693
-19.344,-38.713,-2.3195,-5.088
-19.547,-39.003,-2.26,-5.1053
-19.743,-39.262,-2.203,-5.1209
-19.933,-39.498,-2.148,-5.1354
-20.117,-39.707,-2.0956,-5.1483
-20.296,-39.899,-2.0451,-5.1606
-20.469,-40.07,-1.9974,-5.1722
-20.64,-40.229,-1.9515,-5.1834
-20.805,-40.373,-1.9083,-5.1943
-20.966,-40.507,-1.8669,-5.2049
-21.122,-40.628,-1.8279,-5.2152
-21.273,-40.741,-1.7906,-5.2253
-21.418,-40.843,-1.7556,-5.2349
-21.558,-40.941,-1.7222,-5.2445
-21.692,-41.031,-1.6911,-5.2539
-21.821,-41.118,-1.6615,-5.2631
-21.943,-41.2,-1.634,-5.272
-22.059,-41.279,-1.6081,-5.2808
-22.168,-41.356,-1.5843,-5.2894
-22.272,-41.432,-1.562,-5.2979
-22.368,-41.507,-1.542,-5.3062
-22.461,-41.583,-1.5233,-5.3146
-22.546,-41.662,-1.507,-5.323
-22.628,-41.743,-1.4922,-5.3315
-22.703,-41.827,-1.4796,-5.3401
-22.775,-41.915,-1.4685,-5.3489
-22.843,-42.008,-1.4596,-5.358
-22.907,-42.106,-1.4521,-5.3674
-22.968,-42.21,-1.4467,-5.3771
-23.026,-42.317,-1.4424,-5.387
-23.081,-42.431,-1.4401,-5.3973
-23.133,-42.547,-1.4388,-5.4077
-23.182,-42.669,-1.439,-5.4183
-23.229,-42.792,-1.4399,-5.4289
-23.272,-42.919,-1.442,-5.4395
-23.312,-43.045,-1.4447,-5.45
-23.348,-43.171,-1.4481,-5.4601
-23.381,-43.296,-1.4518,-5.4699
-23.409,-43.417,-1.456,-5.479
-23.434,-43.535,-1.4602,-5.4877
-23.453,-43.646,-1.4647,-5.4953
-23.468,-43.752,-1.4691,-5.5022
-23.476,-43.848,-1.4736,-5.5077
-23.481,-43.937,-1.4779,-5.5125
-23.478,-44.012,-1.4821,-5.5156
-23.471,-44.08,-1.4861,-5.5177
-23.456,-44.132,-1.49,-5.518
-23.437,-44.174,-1.4937,-5.5173
-23.411,-44.198,-1.4972,-5.5145
-23.381,-44.213,-1.5007,-5.5107
-23.343,-44.206,-1.5039,-5.5046
-23.301,-44.19,-1.5071,-5.4975
-23.253,-44.152,-1.5101,-5.4883
-23.202,-44.105,-1.5132,-5.478
-23.146,-44.035,-1.5162,-5.4655
-23.087,-43.956,-1.5193,-5.4522
-23.025,-43.856,-1.5225,-5.4368
-22.962,-43.747,-1.5257,-5.4206
-22.896,-43.618,-1.5291,-5.4025
-22.831,-43.483,-1.5325,-5.3838
-22.767,-43.329,-1.5362,-5.3636
-22.704,-43.17,-1.5401,-5.3428
-22.644,-42.995,-1.5442,-5.3208
-22.586,-42.817,-1.5484,-5.2984
-22.534,-42.627,-1.5529,-5.2753
-22.486,-42.435,-1.5576,-5.2521
-22.448,-42.236,-1.5626,-5.2286
-22.414,-42.037,-1.5678,-5.2053
-22.392,-41.836,-1.5733,-5.1823
-22.375,-41.635,-1.579,-5.1595
-22.374,-41.436,-1.5849,-5.1377
-22.38,-41.24,-1.591,-5.1164
-22.403,-41.051,-1.5974,-5.0965
-22.433,-40.865,-1.6038,-5.0774
-22.485,-40.693,-1.6106,-5.0606
-22.545,-40.526,-1.6175,-5.0448
-22.628,-40.377,-1.6246,-5.0318
-22.721,-40.234,-1.6317,-5.02
-22.839,-40.113,-1.6391,-5.0117
-22.966,-40.001,-1.6465,-5.0047
-23.122,-39.914,-1.654,-5.0018
-23.288,-39.837,-1.6615,-5.0005
-23.484,-39.791,-1.6691,-5.0038
-23.69,-39.755,-1.6767,-5.0089
-23.929,-39.753,-1.6843,-5.0192
-24.178,-39.762,-1.6918,-5.0313
-24.461,-39.809,-1.6992,-5.0493
-24.756,-39.869,-1.7067,-5.0692
-25.087,-39.969,-1.7139,-5.0956
-25.429,-40.083,-1.7211,-5.124
-25.81,-40.24,-1.728,-5.1595
-26.202,-40.412,-1.7349,-5.1972
-26.634,-40.631,-1.7414,-5.2425
-27.079,-40.864,-1.7478,-5.2901
-27.567,-41.149,-1.7539,-5.3462
-28.068,-41.448,-1.7598,-5.4046
-28.614,-41.803,-1.7651,-5.4722
-29.174,-42.172,-1.7704,-5.5424
-29.783,-42.601,-1.775,-5.6226
-30.406,-43.045,-1.7793,-5.7055
